title,price,link
"₹30,650
M.R.P:
₹45,995","30,650",https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_1?dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLqCVXo8jyZDzHTD-4oSP0swOPQCkMUdCKYizYOG-5k3Oj1rtSYXkCEJZlZJVA-GTb14tcJYe2gIN5Cara2-R4jSYoae2lIssn8Gzmtx_3Ii9-pnYK5sWEjwWIXoAzMZszaNg2ikIJkJ9GpIDHt4cfs8ih7M8P8t90Vr8FVgf0Za56Yg9cG-055q4gIyOxpLOUnlIVAEQA-AcSA4SAqErHbxxTXAU9X-hiKKdf-3mncHL-plUREExpAtzQ-B4a8qarBNZ-xynDSlFxcjt5dqG2L4.utkzxaZyPungH0uwZyY7FTOr_0HK9RxkCPxmU7dcGgo&dib_tag=se&keywords=laptop&qid=1753516869&refinements=p_123%3A308445&rnid=91049095031&s=computers&sr=1-1
"₹22,390
M.R.P:
₹30,336","22,390",https://www.amazon.in/HP-%E2%80%8E%E2%80%8ELaptop-Athlon-Silver-Windows/dp/B0DV984J97/ref=sr_1_2?dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLqCVXo8jyZDzHTD-4oSP0swOPQCkMUdCKYizYOG-5k3Oj1rtSYXkCEJZlZJVA-GTb14tcJYe2gIN5Cara2-R4jSYoae2lIssn8Gzmtx_3Ii9-pnYK5sWEjwWIXoAzMZszaNg2ikIJkJ9GpIDHt4cfs8ih7M8P8t90Vr8FVgf0Za56Yg9cG-055q4gIyOxpLOUnlIVAEQA-AcSA4SAqErHbxxTXAU9X-hiKKdf-3mncHL-plUREExpAtzQ-B4a8qarBNZ-xynDSlFxcjt5dqG2L4.utkzxaZyPungH0uwZyY7FTOr_0HK9RxkCPxmU7dcGgo&dib_tag=se&keywords=laptop&qid=1753516869&refinements=p_123%3A308445&rnid=91049095031&s=computers&sr=1-2
"₹22,990
M.R.P:
₹46,990","22,990",https://www.amazon.in/HP-15-Intel-Celeron-N4500/dp/B0F8WTY1HN/ref=sr_1_3?dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLqCVXo8jyZDzHTD-4oSP0swOPQCkMUdCKYizYOG-5k3Oj1rtSYXkCEJZlZJVA-GTb14tcJYe2gIN5Cara2-R4jSYoae2lIssn8Gzmtx_3Ii9-pnYK5sWEjwWIXoAzMZszaNg2ikIJkJ9GpIDHt4cfs8ih7M8P8t90Vr8FVgf0Za56Yg9cG-055q4gIyOxpLOUnlIVAEQA-AcSA4SAqErHbxxTXAU9X-hiKKdf-3mncHL-plUREExpAtzQ-B4a8qarBNZ-xynDSlFxcjt5dqG2L4.utkzxaZyPungH0uwZyY7FTOr_0HK9RxkCPxmU7dcGgo&dib_tag=se&keywords=laptop&qid=1753516869&refinements=p_123%3A308445&rnid=91049095031&s=computers&sr=1-3
"₹35,951
M.R.P:
₹60,959","35,951",https://www.amazon.in/HP-Anti-Glare-15-6-inch-Graphics-eq2144AU/dp/B09RZRF1PJ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLqCVXo8jyZDzHTD-4oSP0swOPQCkMUdCKYizYOG-5k3Oj1rtSYXkCEJZlZJVA-GTb14tcJYe2gIN5Cara2-R4jSYoae2lIssn8Gzmtx_3Ii9-pnYK5sWEjwWIXoAzMZszaNg2ikIJkJ9GpIDHt4cfs8ih7M8P8t90Vr8FVgf0Za56Yg9cG-055q4gIyOxpLOUnlIVAEQA-AcSA4SAqErHbxxTXAU9X-hiKKdf-3mncHL-plUREExpAtzQ-B4a8qarBNZ-xynDSlFxcjt5dqG2L4.utkzxaZyPungH0uwZyY7FTOr_0HK9RxkCPxmU7dcGgo&dib_tag=se&keywords=laptop&qid=1753516869&refinements=p_123%3A308445&rnid=91049095031&s=computers&sr=1-4
"₹29,990
M.R.P:
₹48,000","29,990",https://www.amazon.in/HP-14-Ryzen-7520U-Quad/dp/B0F6V25PSC/ref=sr_1_5?dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLqCVXo8jyZDzHTD-4oSP0swOPQCkMUdCKYizYOG-5k3Oj1rtSYXkCEJZlZJVA-GTb14tcJYe2gIN5Cara2-R4jSYoae2lIssn8Gzmtx_3Ii9-pnYK5sWEjwWIXoAzMZszaNg2ikIJkJ9GpIDHt4cfs8ih7M8P8t90Vr8FVgf0Za56Yg9cG-055q4gIyOxpLOUnlIVAEQA-AcSA4SAqErHbxxTXAU9X-hiKKdf-3mncHL-plUREExpAtzQ-B4a8qarBNZ-xynDSlFxcjt5dqG2L4.utkzxaZyPungH0uwZyY7FTOr_0HK9RxkCPxmU7dcGgo&dib_tag=se&keywords=laptop&qid=1753516869&refinements=p_123%3A308445&rnid=91049095031&s=computers&sr=1-5
"₹35,890
M.R.P:
₹50,843","35,890",https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-Graphics/dp/B0D2KDCWJL/ref=sr_1_6?dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLqCVXo8jyZDzHTD-4oSP0swOPQCkMUdCKYizYOG-5k3Oj1rtSYXkCEJZlZJVA-GTb14tcJYe2gIN5Cara2-R4jSYoae2lIssn8Gzmtx_3Ii9-pnYK5sWEjwWIXoAzMZszaNg2ikIJkJ9GpIDHt4cfs8ih7M8P8t90Vr8FVgf0Za56Yg9cG-055q4gIyOxpLOUnlIVAEQA-AcSA4SAqErHbxxTXAU9X-hiKKdf-3mncHL-plUREExpAtzQ-B4a8qarBNZ-xynDSlFxcjt5dqG2L4.utkzxaZyPungH0uwZyY7FTOr_0HK9RxkCPxmU7dcGgo&dib_tag=se&keywords=laptop&qid=1753516869&refinements=p_123%3A308445&rnid=91049095031&s=computers&sr=1-6
"₹34,999
M.R.P:
₹50,903","34,999",https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0569TU/dp/B0F4R5W1NC/ref=sr_1_7?dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLqCVXo8jyZDzHTD-4oSP0swOPQCkMUdCKYizYOG-5k3Oj1rtSYXkCEJZlZJVA-GTb14tcJYe2gIN5Cara2-R4jSYoae2lIssn8Gzmtx_3Ii9-pnYK5sWEjwWIXoAzMZszaNg2ikIJkJ9GpIDHt4cfs8ih7M8P8t90Vr8FVgf0Za56Yg9cG-055q4gIyOxpLOUnlIVAEQA-AcSA4SAqErHbxxTXAU9X-hiKKdf-3mncHL-plUREExpAtzQ-B4a8qarBNZ-xynDSlFxcjt5dqG2L4.utkzxaZyPungH0uwZyY7FTOr_0HK9RxkCPxmU7dcGgo&dib_tag=se&keywords=laptop&qid=1753516869&refinements=p_123%3A308445&rnid=91049095031&s=computers&sr=1-7
"₹22,590
M.R.P:
₹30,861","22,590",https://www.amazon.in/HP-Professional-Celeron-N4500-Business-Laptop/dp/B0FCD9LKLZ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLqCVXo8jyZDzHTD-4oSP0swOPQCkMUdCKYizYOG-5k3Oj1rtSYXkCEJZlZJVA-GTb14tcJYe2gIN5Cara2-R4jSYoae2lIssn8Gzmtx_3Ii9-pnYK5sWEjwWIXoAzMZszaNg2ikIJkJ9GpIDHt4cfs8ih7M8P8t90Vr8FVgf0Za56Yg9cG-055q4gIyOxpLOUnlIVAEQA-AcSA4SAqErHbxxTXAU9X-hiKKdf-3mncHL-plUREExpAtzQ-B4a8qarBNZ-xynDSlFxcjt5dqG2L4.utkzxaZyPungH0uwZyY7FTOr_0HK9RxkCPxmU7dcGgo&dib_tag=se&keywords=laptop&qid=1753516869&refinements=p_123%3A308445&rnid=91049095031&s=computers&sr=1-8
"₹28,620
M.R.P:
₹35,999","28,620",https://www.amazon.in/HP-Ryzen-7520U-2-8Ghz-4-3Ghz/dp/B0F4KYTVCP/ref=sr_1_9?dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLqCVXo8jyZDzHTD-4oSP0swOPQCkMUdCKYizYOG-5k3Oj1rtSYXkCEJZlZJVA-GTb14tcJYe2gIN5Cara2-R4jSYoae2lIssn8Gzmtx_3Ii9-pnYK5sWEjwWIXoAzMZszaNg2ikIJkJ9GpIDHt4cfs8ih7M8P8t90Vr8FVgf0Za56Yg9cG-055q4gIyOxpLOUnlIVAEQA-AcSA4SAqErHbxxTXAU9X-hiKKdf-3mncHL-plUREExpAtzQ-B4a8qarBNZ-xynDSlFxcjt5dqG2L4.utkzxaZyPungH0uwZyY7FTOr_0HK9RxkCPxmU7dcGgo&dib_tag=se&keywords=laptop&qid=1753516869&refinements=p_123%3A308445&rnid=91049095031&s=computers&sr=1-9
"₹26,288
M.R.P:
₹37,123","26,288",https://www.amazon.in/HP-Radeon-Graphics-Business-Display/dp/B0F6TJ164J/ref=sr_1_10?dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLqCVXo8jyZDzHTD-4oSP0swOPQCkMUdCKYizYOG-5k3Oj1rtSYXkCEJZlZJVA-GTb14tcJYe2gIN5Cara2-R4jSYoae2lIssn8Gzmtx_3Ii9-pnYK5sWEjwWIXoAzMZszaNg2ikIJkJ9GpIDHt4cfs8ih7M8P8t90Vr8FVgf0Za56Yg9cG-055q4gIyOxpLOUnlIVAEQA-AcSA4SAqErHbxxTXAU9X-hiKKdf-3mncHL-plUREExpAtzQ-B4a8qarBNZ-xynDSlFxcjt5dqG2L4.utkzxaZyPungH0uwZyY7FTOr_0HK9RxkCPxmU7dcGgo&dib_tag=se&keywords=laptop&qid=1753516869&refinements=p_123%3A308445&rnid=91049095031&s=computers&sr=1-10
